Month,Price
Jan 1997,3.82
Feb 1997,2.77
Mar 1997,1.78
Apr 1997,1.95
May 1997,2.19
Jun 1997,2.23
Jul 1997,2.16
Aug 1997,2.24
Sep 1997,2.69
Oct 1997,3.08
Nov 1997,3.22
Dec 1997,2.52
Jan 1998,2.27
Feb 1998,2.09
Mar 1998,2.23
Apr 1998,2.45
May 1998,2.11
Jun 1998,2.10
Jul 1998,2.46
Aug 1998,1.85
Sep 1998,1.84
Oct 1998,2.33
Nov 1998,2.00
Dec 1998,1.41
Jan 1999,1.95
Feb 1999,1.75
Mar 1999,1.65
Apr 1999,1.95
May 1999,2.25
Jun 1999,2.34
Jul 1999,2.29
Aug 1999,2.55
Sep 1999,2.71
Oct 1999,2.39
Nov 1999,2.73
Dec 1999,2.17
Jan 2000,2.30
Feb 2000,2.81
Mar 2000,2.71
Apr 2000,2.88
May 2000,3.16
Jun 2000,4.39
Jul 2000,4.36
Aug 2000,3.78
Sep 2000,4.70
Oct 2000,5.10
Nov 2000,4.40
Dec 2000,6.53
Jan 2001,10.48
Feb 2001,5.82
Mar 2001,5.25
Apr 2001,5.35
May 2001,4.55
Jun 2001,3.70
Jul 2001,2.91
Aug 2001,3.27
Sep 2001,2.15
Oct 2001,1.74
Nov 2001,2.99
Dec 2001,1.83
Jan 2002,2.40
Feb 2002,2.28
Mar 2002,2.51
Apr 2002,3.43
May 2002,3.79
Jun 2002,3.15
Jul 2002,3.28
Aug 2002,3.07
Sep 2002,3.12
Oct 2002,4.41
Nov 2002,4.07
Dec 2002,4.19
Jan 2003,4.59
Feb 2003,5.58
Mar 2003,10.81
Apr 2003,4.90
May 2003,5.32
Jun 2003,5.99
Jul 2003,5.22
Aug 2003,4.71
Sep 2003,4.86
Oct 2003,4.47
Nov 2003,3.98
Dec 2003,5.02
Jan 2004,5.76
Feb 2004,5.80
Mar 2004,5.17
Apr 2004,5.82
May 2004,5.81
Jun 2004,6.45
Jul 2004,5.95
Aug 2004,6.03
Sep 2004,5.02
Oct 2004,5.38
Nov 2004,6.98
Dec 2004,6.78
Jan 2005,6.02
Feb 2005,6.28
Mar 2005,6.63
Apr 2005,7.57
May 2005,6.64
Jun 2005,6.36
Jul 2005,7.01
Aug 2005,8.03
Sep 2005,11.36
Oct 2005,14.84
Nov 2005,10.80
Dec 2005,12.58
Jan 2006,9.52
Feb 2006,8.71
Mar 2006,6.62
Apr 2006,6.98
May 2006,6.53
Jun 2006,6.25
Jul 2006,5.84
Aug 2006,8.66
Sep 2006,5.24
Oct 2006,3.66
Nov 2006,7.15
Dec 2006,8.42
Jan 2007,5.50
Feb 2007,7.93
Mar 2007,7.07
Apr 2007,7.50
May 2007,7.64
Jun 2007,7.57
Jul 2007,6.40
Aug 2007,6.19
Sep 2007,5.49
Oct 2007,6.07
Nov 2007,7.09
Dec 2007,7.29
Jan 2008,7.11
Feb 2008,7.88
Mar 2008,9.10
Apr 2008,9.92
May 2008,10.66
Jun 2008,11.43
Jul 2008,13.28
Aug 2008,9.05
Sep 2008,8.24
Oct 2008,7.41
Nov 2008,6.18
Dec 2008,6.48
Jan 2009,5.63
Feb 2009,4.77
Mar 2009,4.04
Apr 2009,3.56
May 2009,3.30
Jun 2009,3.86
Jul 2009,3.63
Aug 2009,3.34
Sep 2009,2.36
Oct 2009,2.91
Nov 2009,4.11
Dec 2009,4.30
Jan 2010,5.82
Feb 2010,5.30
Mar 2010,4.83
Apr 2010,3.72
May 2010,3.94
Jun 2010,4.39
Jul 2010,4.54
Aug 2010,4.81
Sep 2010,3.73
Oct 2010,3.67
Nov 2010,3.42
Dec 2010,4.21
Jan 2011,4.22
Feb 2011,4.42
Mar 2011,3.93
Apr 2011,4.32
May 2011,4.51
Jun 2011,4.62
Jul 2011,4.33
Aug 2011,4.29
Sep 2011,4.18
Oct 2011,3.68
Nov 2011,3.49
Dec 2011,3.49
Jan 2012,2.98
Feb 2012,2.32
Mar 2012,2.45
Apr 2012,2.00
May 2012,2.29
Jun 2012,2.24
Jul 2012,2.74
Aug 2012,3.20
Sep 2012,2.72
Oct 2012,3.19
Nov 2012,3.50
Dec 2012,3.46
Jan 2013,3.43
Feb 2013,3.34
Mar 2013,3.54
Apr 2013,3.97
May 2013,4.31
Jun 2013,4.02
Jul 2013,3.52
Aug 2013,3.44
Sep 2013,3.57
Oct 2013,3.56
Nov 2013,3.45
Dec 2013,3.87
Jan 2014,4.31
Feb 2014,5.04
Mar 2014,4.80
Apr 2014,4.39
May 2014,4.79
Jun 2014,4.49
Jul 2014,4.47
Aug 2014,3.77
Sep 2014,4.04
Oct 2014,4.14
Nov 2014,3.82
Dec 2014,4.30
Jan 2015,3.14
Feb 2015,2.88
Mar 2015,2.79
Apr 2015,2.62
May 2015,2.68
Jun 2015,2.78
Jul 2015,2.78
Aug 2015,2.76
Sep 2015,2.70
Oct 2015,2.37
Nov 2015,1.98
Dec 2015,2.11
Jan 2016,2.28
Feb 2016,2.28
Mar 2016,1.57
Apr 2016,1.88
May 2016,1.89
Jun 2016,2.25
Jul 2016,2.89
Aug 2016,2.97
Sep 2016,2.95
Oct 2016,2.84
Nov 2016,2.53
Dec 2016,3.32
Jan 2017,3.71
Feb 2017,3.15
Mar 2017,2.54
Apr 2017,3.13
May 2017,3.20
Jun 2017,3.05
Jul 2017,2.98
Aug 2017,2.80
Sep 2017,2.88
Oct 2017,2.94
Nov 2017,2.68
Dec 2017,2.84
Jan 2018,3.69
Feb 2018,3.06
Mar 2018,2.67
Apr 2018,2.81
May 2018,2.75
Jun 2018,2.91
Jul 2018,2.96
Aug 2018,2.80
Sep 2018,2.98
Oct 2018,3.13
Nov 2018,3.36
Dec 2018,4.61
Jan 2019,3.25
Feb 2019,2.70
Mar 2019,3.19
Apr 2019,2.73
May 2019,2.59
Jun 2019,2.59
Jul 2019,2.33
Aug 2019,2.36
Sep 2019,2.33
Oct 2019,2.36
Nov 2019,2.54
Dec 2019,2.46
Jan 2020,2.09
